,Climate Zone,City,U,SHGC,HeatingSource,CoolingSource,FanSource,TotalSource
131,1A,Miami,0.30000000000000004,0.9500000000000001,0.62872,21699.46058,9695.960519999999,31396.04982
132,1A,Miami,0.30000000000000004,0.9,0.61788,21403.536099999998,9578.52816,30982.682139999997
133,1A,Miami,0.35000000000000003,0.01,3.9024000000000005,16106.60192,7259.96746,23370.47178
134,1A,Miami,0.35000000000000003,0.15000000000000002,1.9295200000000001,16970.27449,7665.913519999999,24638.11753
135,1A,Miami,0.35000000000000003,0.1,2.7316800000000003,16649.8691,7540.1519499999995,24192.75273
136,1A,Miami,0.35000000000000003,0.25,1.4308800000000002,17548.50535,7903.53353,25453.46976
137,1A,Miami,0.35000000000000003,0.2,1.6260000000000001,17255.96956,7777.45526,25035.05082
138,1A,Miami,0.35000000000000003,0.30000000000000004,1.33332,17858.30129,8031.25864,25890.89325
139,1A,Miami,0.35000000000000003,0.35000000000000003,1.25744,18158.089509999998,8164.68435,26324.0313
140,1A,Miami,0.35000000000000003,0.45,1.1815600000000002,18744.491229999996,8441.70184,27187.37463
141,1A,Miami,0.35000000000000003,0.4,1.22492,18450.05524,8300.10527,26751.385430000002
142,1A,Miami,0.35000000000000003,0.55,1.10568,19331.653029999998,8723.84987,28056.60858
143,1A,Miami,0.35000000000000003,0.5,1.14904,19031.35809,8577.88284,27610.389970000004
144,1A,Miami,0.35000000000000003,0.6000000000000001,1.084,19614.117759999997,8864.17964,28479.3814
145,1A,Miami,0.35000000000000003,0.65,1.0731600000000001,19900.41456,8992.348129999998,28893.83585
146,1A,Miami,0.35000000000000003,0.7000000000000001,1.04064,20185.66625,9105.06166,29291.768549999997
147,1A,Miami,0.35000000000000003,0.75,1.01896,20477.505299999997,9217.14179,29695.66605
148,1A,Miami,0.35000000000000003,0.8500000000000001,1.0081200000000001,21059.853259999996,9444.43738,30505.298759999994
149,1A,Miami,0.35000000000000003,0.8,0.9972800000000002,20760.476749999998,9329.22192,30090.695949999998
150,1A,Miami,0.35000000000000003,0.9500000000000001,1.0623200000000002,21652.30395,9679.58713,31332.953400000002
151,1A,Miami,0.35000000000000003,0.9,1.01896,21355.429369999998,9561.141329999999,30917.589659999998
152,1A,Miami,0.45,0.01,6.15712,16031.79738,7251.416559999999,23289.371059999998
153,1A,Miami,0.45,0.15000000000000002,3.5121600000000006,16931.54208,7672.2158500000005,24607.270089999998
154,1A,Miami,0.45,0.1,4.40104,16618.64248,7537.840039999999,24160.88356
155,1A,Miami,0.45,0.25,2.9051200000000006,17515.695229999998,7911.45103,25430.051379999997
156,1A,Miami,0.45,0.2,3.1219200000000003,17226.358109999997,7787.684670000001,25017.1647
157,1A,Miami,0.45,0.30000000000000004,2.7316800000000003,17814.15331,8041.9631,25858.848090000003
158,1A,Miami,0.45,0.35000000000000003,2.66664,18102.47699,8175.76885,26280.91248
159,1A,Miami,0.45,0.45,2.4281600000000005,18671.27019,8445.375559999999,27119.07391
160,1A,Miami,0.45,0.4,2.53656,18385.7018,8310.23967,26698.47803
161,1A,Miami,0.45,0.55,2.3197600000000005,19253.713159999996,8725.33836,27981.371279999992
162,1A,Miami,0.45,0.5,2.3848000000000003,18964.78775,8580.44811,27547.62066
163,1A,Miami,0.45,0.6000000000000001,2.29808,19540.96006,8859.93586,28403.194000000003
164,1A,Miami,0.45,0.65,2.2764,19830.74056,8969.8941,28802.91106
165,1A,Miami,0.45,0.7000000000000001,2.2330400000000004,20109.08819,9078.49053,29189.811759999997
166,1A,Miami,0.45,0.75,2.2222,20406.247799999997,9192.66088,29601.130879999997
167,1A,Miami,0.45,0.8500000000000001,2.2330400000000004,20968.23195,9418.30963,30388.77462
168,1A,Miami,0.45,0.8,2.21136,20679.11652,9305.46942,29986.7973
169,1A,Miami,0.45,0.9500000000000001,2.26556,21545.29102,9640.56969,31188.12627
170,1A,Miami,0.45,0.9,2.2547200000000003,21271.567209999997,9533.71511,30807.537039999996
171,1A,Miami,0.4,0.01,4.94304,16080.85421,7254.393539999999,23340.19079
172,1A,Miami,0.4,0.15000000000000002,2.6124400000000003,16945.54022,7666.9902999999995,24615.142959999997
173,1A,Miami,0.4,0.1,3.4796400000000003,16626.940020000002,7539.835249999999,24170.254910000003
174,1A,Miami,0.4,0.25,2.07044,17533.71546,7908.03067,25443.81657
175,1A,Miami,0.4,0.2,2.2764,17243.776609999997,7783.8526,25029.905609999994
176,1A,Miami,0.4,0.30000000000000004,1.9620400000000002,17833.472009999998,8035.122379999999,25870.556429999997
177,1A,Miami,0.4,0.35000000000000003,1.88616,18138.51745,8171.493399999999,26311.897009999997
178,1A,Miami,0.4,0.45,1.7452400000000001,18702.528479999997,8442.39858,27146.6723
179,1A,Miami,0.4,0.4,1.79944,18414.61651,8304.41239,26720.82834
180,1A,Miami,0.4,0.55,1.64768,19281.89946,8721.37961,28004.92675
181,1A,Miami,0.4,0.5,1.7127200000000002,18992.34065,8578.452899999998,27572.506269999998
182,1A,Miami,0.4,0.6000000000000001,1.6260000000000001,19574.18189,8863.831269999999,28439.63916
