,Climate Zone,City,U,SHGC,HeatingSource,CoolingSource,FanSource,TotalSource
103,4B,Albuquerque,0.2,0.4,563.58244,3113.6993899999998,2089.93497,5767.2168
104,4B,Albuquerque,0.2,0.55,538.54204,3501.3085199999996,2247.99994,6287.8505000000005
105,4B,Albuquerque,0.2,0.5,546.2818,3376.49705,2195.6811,6118.4599499999995
106,4B,Albuquerque,0.2,0.6000000000000001,530.8022800000001,3623.23802,2301.11053,6455.15083
107,4B,Albuquerque,0.2,0.65,523.05168,3743.3306599999996,2354.91786,6621.3002
108,4B,Albuquerque,0.2,0.7000000000000001,514.01112,3860.9530399999994,2409.2952499999997,6784.259409999999
109,4B,Albuquerque,0.2,0.75,507.81064000000003,3976.5485399999993,2464.17936,6948.53854
110,4B,Albuquerque,0.2,0.8500000000000001,494.75928000000005,4206.28272,2575.37273,7276.41473
111,4B,Albuquerque,0.2,0.8,500.94892000000004,4091.2889499999997,2519.6018599999998,7111.83973
112,4B,Albuquerque,0.2,0.9500000000000001,482.86780000000005,4447.7348,2688.02292,7618.62552
113,4B,Albuquerque,0.2,0.9,488.62384000000003,4326.18534,2631.52364,7446.33282
114,4B,Albuquerque,0.30000000000000004,0.01,557.63128,2470.98841,1747.1705599999998,4775.79025
115,4B,Albuquerque,0.30000000000000004,0.15000000000000002,700.0688800000001,2435.9297199999996,1849.9080399999998,4985.906639999999
116,4B,Albuquerque,0.30000000000000004,0.1,697.4239200000001,2370.9112099999998,1808.4836799999998,4876.81881
117,4B,Albuquerque,0.30000000000000004,0.25,647.4840399999999,2649.95558,1933.9918899999998,5231.431509999999
118,4B,Albuquerque,0.30000000000000004,0.2,665.2399600000001,2533.82169,1890.66733,5089.728980000001
119,4B,Albuquerque,0.30000000000000004,0.30000000000000004,631.6576400000001,2767.13458,1977.9181799999997,5376.7104
120,4B,Albuquerque,0.30000000000000004,0.35000000000000003,619.2566800000001,2890.36255,2021.5277699999997,5531.146999999999
121,4B,Albuquerque,0.30000000000000004,0.45,597.94524,3136.2800999999995,2115.20763,5849.43297
122,4B,Albuquerque,0.30000000000000004,0.4,609.2838800000001,3014.00223,2066.81587,5690.1019799999995
123,4B,Albuquerque,0.30000000000000004,0.55,576.8506,3379.91741,2212.37119,6169.1392
124,4B,Albuquerque,0.30000000000000004,0.5,587.3545600000001,3257.95624,2163.97943,6009.2902300000005
125,4B,Albuquerque,0.30000000000000004,0.6000000000000001,567.35476,3500.6434499999996,2263.48657,6331.48478
126,4B,Albuquerque,0.30000000000000004,0.65,557.8480800000001,3620.0710199999994,2315.23535,6493.154449999999
127,4B,Albuquerque,0.30000000000000004,0.7000000000000001,548.9918,3736.4266,2367.6492,6653.067599999999
128,4B,Albuquerque,0.30000000000000004,0.75,541.60976,3850.4385999999995,2420.60144,6812.649799999999
129,4B,Albuquerque,0.30000000000000004,0.8500000000000001,523.9514,4076.0556799999995,2528.02608,7128.033159999999
130,4B,Albuquerque,0.30000000000000004,0.8,532.3090400000001,3963.46883,2474.09207,6969.8699400000005
131,4B,Albuquerque,0.30000000000000004,0.9500000000000001,508.12500000000006,4311.83883,2636.59084,7456.5546699999995
132,4B,Albuquerque,0.30000000000000004,0.9,516.3200400000001,4191.99955,2582.4351399999996,7290.754730000001
133,4B,Albuquerque,0.35000000000000003,0.01,617.7174000000001,2452.65148,1743.68686,4814.05574
134,4B,Albuquerque,0.35000000000000003,0.15000000000000002,739.9926,2403.3729599999997,1842.68728,4986.05284
135,4B,Albuquerque,0.35000000000000003,0.1,742.69176,2338.06942,1802.81475,4883.57593
136,4B,Albuquerque,0.35000000000000003,0.25,678.70324,2608.68957,1924.2375299999999,5211.63034
137,4B,Albuquerque,0.35000000000000003,0.2,698.638,2496.19773,1882.0214199999998,5076.85715
138,4B,Albuquerque,0.35000000000000003,0.30000000000000004,661.3267200000001,2723.62,1967.3404,5352.28712
139,4B,Albuquerque,0.35000000000000003,0.35000000000000003,646.4759200000001,2843.80765,2010.47494,5500.758510000001
140,4B,Albuquerque,0.35000000000000003,0.45,622.7038000000001,3086.3681799999995,2102.31794,5811.38992
141,4B,Albuquerque,0.35000000000000003,0.4,635.21316,2965.5788,2054.71793,5655.509889999999
142,4B,Albuquerque,0.35000000000000003,0.55,597.9018800000001,3327.40855,2197.83466,6123.14509
143,4B,Albuquerque,0.35000000000000003,0.5,610.31368,3206.49249,2150.3613299999997,5967.1675
144,4B,Albuquerque,0.35000000000000003,0.6000000000000001,587.7881600000001,3447.4061799999995,2248.03161,6283.22595
145,4B,Albuquerque,0.35000000000000003,0.65,578.2598,3566.3270299999995,2298.67194,6443.2587699999995
146,4B,Albuquerque,0.35000000000000003,0.7000000000000001,568.35204,3682.6192699999997,2350.2940399999998,6601.26535
147,4B,Albuquerque,0.35000000000000003,0.75,559.10552,3795.1427799999997,2402.3595199999995,6756.607819999999
148,4B,Albuquerque,0.35000000000000003,0.8500000000000001,542.1192400000001,4018.98634,2508.23233,7069.33791
149,4B,Albuquerque,0.35000000000000003,0.8,551.88608,3908.0463299999997,2455.02673,6914.959139999999
150,4B,Albuquerque,0.35000000000000003,0.9500000000000001,524.5476,4247.48539,2614.80188,7386.83487
151,4B,Albuquerque,0.35000000000000003,0.9,533.02448,4132.39661,2561.7862999999998,7227.20739
152,4B,Albuquerque,0.45,0.01,740.07932,2423.92679,1739.0947099999998,4903.10082
153,4B,Albuquerque,0.45,0.15000000000000002,810.9404000000001,2353.4610399999997,1832.33119,4996.7326299999995
154,4B,Albuquerque,0.45,0.1,829.1299200000001,2295.50494,1795.11894,4919.7538
155,4B,Albuquerque,0.45,0.25,743.2879600000001,2540.28237,1908.84591,5192.4162400000005
156,4B,Albuquerque,0.45,0.2,767.39612,2438.3049699999997,1869.0050499999998,5074.706139999999
157,4B,Albuquerque,0.45,0.30000000000000004,722.36676,2649.1955,1950.2069299999998,5321.769189999999
158,4B,Albuquerque,0.45,0.35000000000000003,703.65692,2764.1259299999997,1992.3913699999998,5460.174219999999
159,4B,Albuquerque,0.45,0.45,675.7005600000001,2999.9407499999998,2081.0673699999998,5756.70868
160,4B,Albuquerque,0.45,0.4,688.37252,2882.25503,2034.8291699999997,5605.456719999999
161,4B,Albuquerque,0.45,0.55,645.5328400000001,3236.29396,2173.57544,6055.402239999999
162,4B,Albuquerque,0.45,0.5,660.9473200000001,3118.1015199999997,2127.68561,5906.73445
163,4B,Albuquerque,0.45,0.6000000000000001,632.64408,3354.1063599999998,2222.2839,6209.03434
164,4B,Albuquerque,0.45,0.65,620.2539600000001,3471.3803699999994,2271.40407,6363.0383999999995
165,4B,Albuquerque,0.45,0.7000000000000001,609.03456,3586.53249,2321.1259699999996,6516.693019999999
166,4B,Albuquerque,0.45,0.75,598.9642,3697.1558,2371.7029599999996,6667.8229599999995
167,4B,Albuquerque,0.45,0.8500000000000001,581.0456800000001,3918.94081,2474.3137599999995,6974.30025
168,4B,Albuquerque,0.45,0.8,589.3924800000001,3807.7791099999995,2422.81834,6819.98993
169,4B,Albuquerque,0.45,0.9500000000000001,562.1190399999999,4139.20566,2576.9562300000002,7278.280929999999
170,4B,Albuquerque,0.45,0.9,571.92924,4028.04396,2526.3792399999998,7126.352440000001
171,4B,Albuquerque,0.4,0.01,680.51352,2436.3097599999996,1740.99491,4857.81819
172,4B,Albuquerque,0.4,0.15000000000000002,775.78628,2377.18187,1836.86,4989.828149999999
173,4B,Albuquerque,0.4,0.1,786.6479600000001,2312.7967599999997,1798.5076299999998,4897.95235
174,4B,Albuquerque,0.4,0.25,710.75712,2572.07905,1915.90832,5198.744489999999
175,4B,Albuquerque,0.4,0.2,733.1417200000001,2465.09779,1874.9273399999997,5073.16685
176,4B,Albuquerque,0.4,0.30000000000000004,691.7004000000001,2684.28586,1958.1877699999998,5334.17403
177,4B,Albuquerque,0.4,0.35000000000000003,674.8984,2801.7498899999996,2000.8472599999998,5477.49555
178,4B,Albuquerque,0.4,0.45,648.87156,3041.1750899999997,2091.04342,5781.09007
179,4B,Albuquerque,0.4,0.4,661.28336,2921.81086,2044.2034899999999,5627.29771
180,4B,Albuquerque,0.4,0.55,620.8501600000001,3279.99856,2185.0083099999997,6085.857029999999
181,4B,Albuquerque,0.4,0.5,635.4516400000001,3159.87425,2138.3584,5933.68429
182,4B,Albuquerque,0.4,0.6000000000000001,609.3055600000001,3398.8877399999997,2234.38184,6242.57514
183,4B,Albuquerque,0.4,0.65,598.12952,3516.73181,2284.23042,6399.09175
184,4B,Albuquerque,0.4,0.7000000000000001,588.5469600000001,3632.35898,2334.90242,6555.808360000001
185,4B,Albuquerque,0.4,0.75,578.57416,3744.05907,2386.20782,6708.841049999999
186,4B,Albuquerque,0.4,0.8500000000000001,561.86972,3966.60416,2490.37045,7018.84433
187,4B,Albuquerque,0.4,0.8,569.40352,3855.66415,2437.98827,6863.05594
188,4B,Albuquerque,0.4,0.9500000000000001,542.58536,4192.4746,2595.07147,7330.131429999999
189,4B,Albuquerque,0.4,0.9,552.37388,4077.95588,2543.13267,7173.46243
